0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
l1.weight,5.992249,,,,,,,,,,,,,,,,,,,
l1.weight,-3.264888,,,,,,,,,,,,,,,,,,,
l1.weight,1.5745927,,,,,,,,,,,,,,,,,,,
l1.weight,-0.6932552,,,,,,,,,,,,,,,,,,,
l1.weight,-6.036273,,,,,,,,,,,,,,,,,,,
l1.weight,-2.891691,,,,,,,,,,,,,,,,,,,
l1.weight,0.77135766,,,,,,,,,,,,,,,,,,,
l1.weight,8.883373,,,,,,,,,,,,,,,,,,,
l1.weight,-5.087174,,,,,,,,,,,,,,,,,,,
l1.weight,-6.759003,,,,,,,,,,,,,,,,,,,
l1.weight,2.8886054,,,,,,,,,,,,,,,,,,,
l1.weight,0.48939627,,,,,,,,,,,,,,,,,,,
l1.weight,1.2575725,,,,,,,,,,,,,,,,,,,
l1.weight,-0.34507155,,,,,,,,,,,,,,,,,,,
l1.weight,7.3058147,,,,,,,,,,,,,,,,,,,
l1.weight,-6.3880577,,,,,,,,,,,,,,,,,,,
l1.weight,-5.584162,,,,,,,,,,,,,,,,,,,
l1.weight,5.419606,,,,,,,,,,,,,,,,,,,
l1.weight,2.8044796,,,,,,,,,,,,,,,,,,,
l1.weight,-9.89988,,,,,,,,,,,,,,,,,,,
l1.bias,5.4906015,-10.819527626037598,-3.3873496055603027,-1.8003830909729004,3.84954833984375,-2.947286367416382,-5.728119850158691,-1.198655366897583,1.9958542585372925,-6.210967540740967,-7.4715752601623535,-0.04451652243733406,1.3646482229232788,-3.2328407764434814,-9.872661590576172,-6.011929035186768,5.18401575088501,-3.09719181060791,-4.730945587158203,-1.8009346723556519
rlif1.recurrent.weight,0.41322768,10.182732582092285,-2.328181743621826,0.5499637722969055,7.6743903160095215,-8.527642250061035,1.2679764032363892,0.6054223775863647,3.4183337688446045,2.742558479309082,15.495376586914062,2.6196067333221436,2.775653839111328,7.572423934936523,-4.782928943634033,6.398128032684326,1.1659682989120483,1.1631417274475098,-2.4247031211853027,-7.539644241333008
