0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.22152855,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.6342591,,,,,,,,,,,,,,,,,,,
l1.weight,0.0,,,,,,,,,,,,,,,,,,,
l1.weight,0.3410086,,,,,,,,,,,,,,,,,,,
l1.bias,0.4823587,0.9962631464004517,-0.9713889360427856,0.7659962177276611,-0.5057059526443481,-0.7696746587753296,0.7223294973373413,0.9286947250366211,0.6980389356613159,-0.4406973123550415,0.23678481578826904,-0.802775502204895,0.2688291072845459,-0.9450573921203613,-0.35024964809417725,0.06303632259368896,0.8824783563613892,-0.9229446649551392,0.06857192516326904,-0.2212224006652832
rlif1.recurrent.weight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
rlif1.recurrent.weight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
