,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.6414513,1.0906354,1.0926114,0.0,0.0,2.5644727,3.2734056,9.113267,12.752699,5.0266466,0.0,0.0,3.9046988,11.382889,0.0,1.0190176,2.475132,9.763504,5.1472325,6.9924426,9.906974,0.65251005,4.133618,2.861819,4.4010043,1.701672,2.4789042,4.402954,4.71766,0.0,3.18601,0.0,0.0,5.4456244,1.9709294,1.4392406,6.423621,15.986117,1.2680726,2.5176136,0.0,0.93734056,5.0803638,0.7888348,9.71207,0.0,13.435253,0.0,8.927347,0.0,11.495416,3.1855774,10.832148,6.5154586,9.395242,5.715906,9.681946,5.6837697,1.4523735,0.0,0.8355861,0.0,3.2376096,9.426775,0.0,7.5992703,0.98081243,1.2512687,-4.981951,-17.728998,0.0,-7.2960777,-15.192599,-2.046653,-5.7016673,-4.3923473,-11.820698,0.0,-2.0904768,-1.360932
1,5.510782,2.1563008,0.0,12.792012,1.3738654,3.1786058,0.67641073,2.0238132,1.3993684,15.636068,4.8510633,14.469364,2.640888,2.1830592,3.8768284,2.2729442,4.2683687,0.0,1.3568348,0.7786295,10.8665905,2.9402287,7.397237,0.0,0.0,1.433023,0.0,1.5289122,3.4160151,2.4196177,1.0268154,2.1950805,0.0,2.669449,0.0,6.9602776,1.8826147,2.855748,0.8348109,1.1531162,2.3723557,3.2974138,6.6316905,0.0,7.04153,5.678621,13.487218,5.26219,9.013184,0.853136,7.216915,2.534125,4.2722616,0.0,1.3218141,7.248761,3.7610962,0.0,1.7450521,5.49288,4.63367,2.3196814,2.4431963,9.104679,0.0,0.0,0.723961,11.060494,-14.719732,-14.078618,-3.4682648,-7.225078,-4.4428806,-2.9677515,-7.703609,-9.5315075,-8.126846,-8.806338,-10.363383,-0.0
2,2.201909,1.9473741,0.81357455,10.8590555,0.0,8.938494,3.9873729,9.37742,2.2365127,7.8891397,0.0,4.695689,3.0161192,0.0,3.1343915,7.986457,0.97038674,0.0,2.8991454,7.9302654,8.145316,3.4661639,0.0,0.0,6.9135666,4.8472147,3.121246,0.0,3.7236335,7.9729376,1.2805057,5.6113234,3.321885,0.0,17.077173,0.0,1.0786515,0.0,4.753546,12.90062,8.510305,7.478321,1.6839464,3.2371328,2.3866844,7.4851003,0.6162574,3.159309,5.937873,3.2552702,2.244627,1.2018551,16.486969,0.0,5.0156727,3.3829648,0.9473671,7.2896023,5.948731,2.0935135,5.489677,0.0,3.6231437,3.5855315,6.836186,3.2356238,0.896505,0.0,-15.99214,-9.7554,-4.559483,-0.6669112,-4.35565,-11.686396,-4.274734,-0.0,-5.741011,-6.025765,-9.35747,-12.837204
3,8.653549,3.591489,6.1079345,11.721473,3.8037393,0.0,0.0,4.3211765,6.110613,0.0,0.0,2.244875,7.667442,1.562716,7.9602036,4.6110315,0.0,6.4975967,3.0472155,0.0,8.621442,9.374893,5.456598,0.6302454,2.332097,3.2226515,9.113316,2.0732653,0.0,11.803893,4.542193,6.73896,8.687498,1.8662665,12.052397,3.4710271,5.866034,1.9563905,3.4231617,4.159203,2.4750795,5.4363236,1.3704884,19.888002,6.338502,10.810288,9.495177,19.691444,1.0604353,4.839683,10.092824,4.5690594,10.861277,3.9431858,6.487532,2.3543684,5.2330203,4.9819446,12.238956,3.4641514,2.2981799,4.980813,0.0,3.6407237,3.5515482,0.0,16.643946,3.3980544,-7.58872,-5.794254,-0.95801973,-3.8864374,-8.640413,-4.6078377,-10.875116,-6.067636,-7.820978,-12.41375,-12.478821,-21.235533
4,11.200227,0.0,15.262707,4.1918836,2.4758513,2.9704442,0.0,1.787719,0.0,1.2556746,2.1619463,2.183609,0.0,1.5341004,6.3861756,2.0471015,7.623915,10.213143,6.0498137,0.0,0.0,8.316225,1.7864136,5.5077887,4.6963315,5.7621994,10.880759,4.9728417,0.0,0.0,1.7848512,3.4314234,0.0,0.0,2.1123521,14.199887,2.59157,0.0,14.112449,1.7051046,0.0,8.4270935,22.22621,0.0,4.703491,4.3550944,0.0,6.4732614,4.020335,7.915298,2.363585,3.806797,7.3676414,3.378158,1.1118325,4.344309,0.75520617,3.7435825,7.396923,3.0639398,10.154844,3.931443,0.0,18.736628,2.2701197,11.221885,0.0,4.4360576,-2.4950128,-16.325138,-4.245809,-10.249954,-0.0,-6.7741776,-6.272907,-1.5302346,-17.914993,0.0,-0.7930525,-10.0675335
5,4.1539392,2.9840045,7.1768975,7.4623475,10.763594,7.8081946,1.8164023,3.966971,6.9028955,2.283784,16.289356,4.6135826,2.2573762,5.828435,0.0,9.139033,2.6651943,1.505059,1.6025957,2.625374,6.606806,0.0,4.51375,2.30086,0.0,5.0002556,5.2382407,0.0,3.276655,5.064125,2.384184,4.1881356,5.286343,5.8603697,5.863251,6.209738,1.2422335,0.0,10.334159,6.4483676,5.043898,4.3112974,1.2759717,2.896232,6.322871,0.0,16.32077,0.9477078,5.443349,6.299317,0.0,5.8902316,1.8078942,3.3694518,3.0336368,0.0,0.88222027,5.4342346,10.902853,7.2336197,0.0,0.8388922,3.0659835,0.75547147,0.0,4.5178022,11.427447,11.359636,-9.432632,-17.746202,-9.6679535,-2.09499,-0.6338978,-1.1033633,-20.435057,-4.6182094,0.0,-1.0573862,-5.553169,-9.135349
6,10.370405,3.7591295,0.80656815,5.621343,5.5189986,9.810159,5.034591,5.483989,0.0,2.8933797,3.555556,4.075856,0.0,6.7919893,6.286018,2.943585,2.013436,2.887416,5.533931,2.6789882,5.114761,4.033639,5.9118104,0.0,10.386144,5.028041,6.444117,0.0,0.0,10.109342,6.8258696,3.5268486,0.0,0.0,1.9616736,5.501808,19.512806,10.500217,6.4406414,21.220625,3.97785,7.449157,4.7105527,3.878425,0.83397037,7.1225953,0.0,1.5735186,3.8495939,1.7439331,0.93272585,0.0,3.272341,2.3913226,3.5846806,13.141038,4.4610286,3.1796308,7.646458,0.8722268,6.068021,4.889144,1.1808786,2.3808088,2.8962748,0.0,12.0949135,1.1183754,0.0,-5.553283,-14.021155,-7.9380097,-6.840287,-7.9857354,-0.64525187,-9.969522,-5.1683607,-9.189265,-8.653875,-1.011678
7,3.4778705,2.5827813,5.87297,0.0,3.133843,1.6535257,11.093317,10.000601,0.0,1.455896,5.9500947,10.249575,0.86575377,9.556297,13.387893,0.0,0.0,7.947301,5.6636457,1.3417414,5.315074,6.7751293,9.16086,0.0,4.9471316,2.839521,15.245512,8.135886,8.426433,5.7825294,0.61263794,0.97811025,0.0,0.0,8.642502,4.847883,3.580726,4.936426,1.5068543,6.0661144,5.2686663,0.68978447,5.3595552,3.5301356,4.5308723,2.2534058,0.0,2.8135848,5.4768424,0.0,19.7325,7.311663,3.6486373,0.0,4.317883,3.4003134,3.7686987,4.2969894,3.079699,5.3683066,4.1558867,2.1920202,0.0,0.0,2.6374922,6.6927533,2.8191078,0.0,-2.5156121,-22.293648,-4.980941,-25.321756,-16.540926,-1.8432312,-5.2138486,-10.83175,-8.084308,-6.642946,-1.861058,-6.4077325
8,0.0,1.9540957,1.5840036,7.8741474,6.6198215,1.042151,6.6911397,2.8230531,4.5277004,1.4179995,8.705427,11.776648,1.9645402,2.3837976,7.4141026,1.6690646,4.9499917,4.3322086,4.210511,11.798227,1.4933871,13.656758,3.7127507,0.95433676,2.5297534,1.611097,16.287712,2.2968938,5.3488894,0.0,2.7546127,4.5431395,0.0,6.784535,3.0829077,0.8858937,0.8303817,2.2728326,4.399878,0.0,5.767118,12.05992,4.7850895,1.075515,2.0052712,0.67179906,5.1761045,11.438494,2.1707857,3.2826982,3.229188,5.0289073,0.0,4.4700856,0.0,4.605349,2.0710876,22.990278,9.737696,3.2123804,2.523084,2.1966794,5.2789016,6.5339904,2.3065298,1.2444121,9.477178,0.7114221,-2.6378706,-4.760462,-12.331522,-15.189231,-4.2172256,0.0,-5.190373,-3.7268002,-9.848129,-10.925599,-20.575914,-8.161495
9,6.771683,0.0,0.0,0.66889256,1.2432768,4.4895515,0.6824693,0.8240223,8.185629,5.4416986,3.406009,2.4016876,6.5447807,0.94026554,11.114526,2.0986214,8.145036,0.0,2.3828921,3.8289468,2.2095292,2.7201848,3.9199517,3.3437533,5.9132614,3.6923041,3.6052577,8.287673,12.715334,2.894073,3.4955232,2.7952285,4.2253447,13.545008,9.78874,3.5097158,0.8905515,0.0,0.0,8.882149,4.464473,12.072586,1.889302,0.0,3.208588,2.2791724,2.6866236,3.7459795,4.978013,2.7398977,2.4671447,0.0,3.5611145,14.078119,7.8891354,1.6257839,0.7355743,4.9977193,16.168196,4.1152616,1.1006174,2.173777,0.0,0.7217861,0.0,6.4501467,2.6950555,0.0,-5.2425413,-2.7215953,0.0,-4.5977864,-8.329476,-9.544998,0.0,-8.139361,-9.335394,-5.2119336,-4.05952,-11.734325
